timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610644668458,343,CreateTodo,201,,soakTest 2-140,text,true,,329,239,300,417,http://localhost:8080/todo/create,343,0,341
1610644668856,5,CreateTodo,201,,loadTest 1-282,text,true,,329,239,20,420,http://localhost:8080/todo/create,4,0,1
1610644668421,441,CreateTodo,201,,soakTest 2-73,text,true,,329,239,300,420,http://localhost:8080/todo/create,441,0,438
1610644668468,288,CreateTodo,201,,soakTest 2-111,text,true,,329,239,300,414,http://localhost:8080/todo/create,288,0,66
1610644668472,391,CreateTodo,201,,loadTest 1-293,text,true,,329,239,20,420,http://localhost:8080/todo/create,391,0,389
1610644668861,3,CreateTask,201,,soakTest 2-140,text,true,,311,274,300,420,http://localhost:8080/task/create,3,0,0
1610644668449,307,CreateTodo,201,,soakTest 2-235,text,true,,329,239,300,414,http://localhost:8080/todo/create,307,0,95
1610644668861,4,CreateTask,201,,loadTest 1-282,text,true,,311,274,20,420,http://localhost:8080/task/create,4,0,0
1610644668862,3,CreateTask,201,,soakTest 2-73,text,true,,311,274,300,420,http://localhost:8080/task/create,3,0,0
1610644668472,394,CreateTodo,201,,soakTest 2-284,text,true,,329,239,300,420,http://localhost:8080/todo/create,394,0,390
1610644668461,295,CreateTodo,201,,soakTest 2-174,text,true,,329,239,300,414,http://localhost:8080/todo/create,295,0,140
1610644668863,4,CreateTask,201,,loadTest 1-293,text,true,,311,274,20,420,http://localhost:8080/task/create,4,0,0
1610644668865,2,CreateTask,201,,soakTest 2-235,text,true,,311,274,300,420,http://localhost:8080/task/create,2,0,0
1610644668863,6,CreateTask,201,,soakTest 2-111,text,true,,311,274,300,420,http://localhost:8080/task/create,5,0,0
1610644668458,298,CreateTodo,201,,soakTest 2-195,text,true,,329,239,300,414,http://localhost:8080/todo/create,298,0,109
1610644668866,10,CreateTask,201,,soakTest 2-174,text,true,,311,274,300,420,http://localhost:8080/task/create,10,0,0
1610644668866,12,CreateTask,201,,soakTest 2-284,text,true,,311,274,300,420,http://localhost:8080/task/create,12,0,0
